The	﻿the
Project	project
Gutenberg	gutenberg
EBook	ebook
of	of
Erste	erste
Gedichte,	gedichte
by	by
Rainer	rainer
Maria	maria
Rilke	rilke
This	this
eBook	ebook
is	is
for	for
the	the
use	use
of	of
anyone	anyone
anywhere	anywhere
at	at
no	no
cost	cost
and	and
with	with
almost	almost
no	no
restrictions	restrictions
whatsoever.	whatsoever
You	you
may	may
copy	copy
it,	it
give	give
it	it
away	away
or	or
re-use	re-use
it	it
under	under
the	the
terms	terms
of	of
the	the
Project	project
Gutenberg	gutenberg
License	license
included	included
with	with
this	this
eBook	ebook
or	or
online	online
at	at
www.gutenberg.org	www.gutenberg.org
Title:	title:
Erste	erste
Gedichte	gedichte
Author:	author:
Rainer	rainer
Maria	maria
Rilke	rilke
Release	release
Date:	date:
September	september
30,	30
2010	2010
[EBook	[ebook
#33821]	#33821]
Language:	language:
German	german
Character	character
set	set
encoding:	encoding:
UTF-8	utf-8
***	***
START	start
OF	of
THIS	this
PROJECT	project
GUTENBERG	gutenberg
EBOOK	ebook
ERSTE	erste
GEDICHTE	gedichte
***	***
Produced	produced
by	by
Marc	marc
D'Hooghe	d'hooghe
at	at
http://www.freeliterature.org	http://www.freeliterature.org
ERSTE	erste
GEDICHTE	gedichte
Von	von
RAINER	rainer
MARIA	maria
RILKE	rilke
LEIPZIG	leipzig
IM	im
INSEL-VERLAG	insel-verlag
MCMXIII	mcmxiii
LARENOPFER	larenopfer
IM	im
ALTEN	alten
HAUSE	hause
Im	im
alten	alten
Hause;	hause;
vor	vor
mir	mir
frei	frei
seh	seh
ich	ich
ganz	ganz
Prag	prag
in	in
weiter	weiter
Runde;	runde;
tief	tief
unten	unten
geht	geht
die	die
Dämmerstunde	dämmerstunde
mit	mit
lautlos	lautlos
leisem	leisem
Schritt	schritt
vorbei.	vorbei
Die	die
Stadt	stadt
verschwimmt	verschwimmt
wie	wie
hinter	hinter
Glas.	glas
Nur	nur
hoch,	hoch
wie	wie
ein	ein
behelmter	behelmter
Hüne,	hüne
ragt	ragt
klar	klar
vor	vor
mir	mir
die	die
grünspangrüne	grünspangrüne
Turmkuppel	turmkuppel
von	von
Sankt	sankt
Nikolas.	nikolas
Schon	schon
blinzelt	blinzelt
da	da
und	und
dort	dort
ein	ein
Licht	licht
fern	fern
auf	auf
im	im
schwülen	schwülen
Stadtgebrause.--	stadtgebrause.--
Mir	mir
ist,	ist
daß	daß
in	in
dem	dem
alten	alten
Hause	hause
jetzt	jetzt
eine	eine
Stimme	stimme
"""Amen"""	"""amen"""
spricht.	spricht
AUF	auf
DER	der
KLEINSEITE	kleinseite
Alte	alte
Häuser,	häuser
steilgegiebelt,	steilgegiebelt
hohe	hohe
Türme	türme
voll	voll
Gebimmel,--	gebimmel,--
in	in
die	die
engen	engen
Höfe	höfe
liebelt	liebelt
nur	nur
ein	ein
winzig	winzig
Stückchen	stückchen
Himmel.	himmel
Und	und
auf	auf
jedem	jedem
Treppenpflocke	treppenpflocke
müde	müde
lächelnd--Amoretten;	lächelnd--amoretten;
hoch	hoch
am	am
Dache	dache
um	um
barocke	barocke
Vasen	vasen
rieseln	rieseln
Rosenketten.	rosenketten
Spinnverwoben	spinnverwoben
ist	ist
die	die
Pforte	pforte
dort.	dort
Verstohlen	verstohlen
liest	liest
die	die
Sonne	sonne
die	die
geheimnisvollen	geheimnisvollen
Worte	worte
unter	unter
einer	einer
Steinmadonne.	steinmadonne
EIN	ein
ADELSHAUS	adelshaus
Das	das
Adelshaus	adelshaus
mit	mit
seiner	seiner
breiten	breiten
Rampe:	rampe:
wie	wie
schön	schön
will	will
mir	mir
sein	sein
grau	grau
er	er
Glast	glast
erscheinen.	erscheinen
Der	der
Gangsteig	gangsteig
mit	mit
den	den
schlechten	schlechten
Pflastersteinen	pflastersteinen
und	und
dort,	dort
am	am
Eck,	eck
die	die
trübe,	trübe
fette	fette
Lampe.	lampe
Auf	auf
einer	einer
Fensterbrüstung	fensterbrüstung
nickt	nickt
ein	ein
Tauber,	tauber
als	als
wollt	wollt
